text,label
"Government passes new health bill",politics
"Team wins the football championship",sports
"New breakthrough in quantum computing",technology
"President addresses the nation",politics
"Local player scores winning goal",sports
"Scientists discover new planet",technology
"Election campaigns are heating up",politics
"Latest match ends in a draw",sports
"Tech company launches new product",technology
"Senate debates tax reform bill",politics
"Coach praises team's performance",sports
"AI is transforming industries",technology
"Parliament discusses climate change",politics
"Cricket fans celebrate big win",sports
"Smartphones get smarter every year",technology

